experiment,enabled_flags,mrr,recall_at_1,recall_at_5,top_1,top_5,top_10
all_features,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.687536549789447,0.6578947368421053,0.7105263157894737,0.6578947368421053,0.7105263157894737,0.7368421052631579
no_constants,FeatureFlag.CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.670679908372217,0.631578947368421,0.7017543859649122,0.631578947368421,0.7017543859649122,0.7192982456140351
no_concrete_values,FeatureFlag.CONSTANTS|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.687536549789447,0.6578947368421053,0.7105263157894737,0.6578947368421053,0.7105263157894737,0.7368421052631579
no_opcode_histogram,FeatureFlag.CONSTANTS|CONCRETE_VALUES|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.6146068176652607,0.5701754385964912,0.6403508771929824,0.5701754385964912,0.6403508771929824,0.6754385964912281
no_memory_pattern,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.687536549789447,0.6578947368421053,0.7105263157894737,0.6578947368421053,0.7105263157894737,0.7368421052631579
no_dataflow_edges,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.687536549789447,0.6578947368421053,0.7105263157894737,0.6578947368421053,0.7105263157894737,0.7368421052631579
no_cfg_weights,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.6825042883698883,0.6491228070175439,0.7105263157894737,0.6491228070175439,0.7105263157894737,0.7368421052631579
no_callee_names,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CFG_SHAPE|STRING_REFS,0.687536549789447,0.6578947368421053,0.7105263157894737,0.6578947368421053,0.7105263157894737,0.7368421052631579
no_cfg_shape,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|STRING_REFS,0.6897570730905129,0.6578947368421053,0.7105263157894737,0.6578947368421053,0.7105263157894737,0.7456140350877193
no_string_refs,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE,0.687536549789447,0.6578947368421053,0.7105263157894737,0.6578947368421053,0.7105263157894737,0.7368421052631579
only_constants,FeatureFlag.CONSTANTS,0.5628444166876317,0.5087719298245614,0.6140350877192983,0.5087719298245614,0.6140350877192983,0.6491228070175439
only_concrete_values,FeatureFlag.CONCRETE_VALUES,0.036944677786312774,0.008771929824561403,0.043859649122807015,0.008771929824561403,0.043859649122807015,0.043859649122807015
only_opcode_histogram,FeatureFlag.OPCODE_HISTOGRAM,0.6671659373698045,0.631578947368421,0.6929824561403509,0.631578947368421,0.6929824561403509,0.7280701754385965
only_memory_pattern,FeatureFlag.MEMORY_PATTERN,0.036944677786312774,0.008771929824561403,0.043859649122807015,0.008771929824561403,0.043859649122807015,0.043859649122807015
only_dataflow_edges,FeatureFlag.DATAFLOW_EDGES,0.036944677786312774,0.008771929824561403,0.043859649122807015,0.008771929824561403,0.043859649122807015,0.043859649122807015
only_cfg_weights,FeatureFlag.CFG_WEIGHTS,0.4354865243671017,0.3508771929824561,0.5175438596491229,0.3508771929824561,0.5175438596491229,0.5701754385964912
only_callee_names,FeatureFlag.CALLEE_NAMES,0.036944677786312774,0.008771929824561403,0.043859649122807015,0.008771929824561403,0.043859649122807015,0.043859649122807015
only_cfg_shape,FeatureFlag.CFG_SHAPE,0.5004003234956351,0.4473684210526316,0.5350877192982456,0.4473684210526316,0.5350877192982456,0.5877192982456141
only_string_refs,FeatureFlag.STRING_REFS,0.036944677786312774,0.008771929824561403,0.043859649122807015,0.008771929824561403,0.043859649122807015,0.043859649122807015
