experiment,enabled_flags,mrr,recall_at_1,recall_at_5,top_1,top_5,top_10
all_features,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.19245076089350835,0.17123287671232876,0.2146118721461187,0.17123287671232876,0.2146118721461187,0.2328767123287671
no_constants,FeatureFlag.CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.17458125255711493,0.1506849315068493,0.19406392694063926,0.1506849315068493,0.19406392694063926,0.22146118721461186
no_concrete_values,FeatureFlag.CONSTANTS|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.19245076089350835,0.17123287671232876,0.2146118721461187,0.17123287671232876,0.2146118721461187,0.2328767123287671
no_opcode_histogram,FeatureFlag.CONSTANTS|CONCRETE_VALUES|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.16951184683460752,0.15296803652968036,0.1735159817351598,0.15296803652968036,0.1735159817351598,0.19863013698630136
no_memory_pattern,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.19245076089350835,0.17123287671232876,0.2146118721461187,0.17123287671232876,0.2146118721461187,0.2328767123287671
no_dataflow_edges,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.19245076089350835,0.17123287671232876,0.2146118721461187,0.17123287671232876,0.2146118721461187,0.2328767123287671
no_cfg_weights,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CALLEE_NAMES|CFG_SHAPE|STRING_REFS,0.1914909115908762,0.1689497716894977,0.20776255707762556,0.1689497716894977,0.20776255707762556,0.2328767123287671
no_callee_names,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CFG_SHAPE|STRING_REFS,0.19245076089350835,0.17123287671232876,0.2146118721461187,0.17123287671232876,0.2146118721461187,0.2328767123287671
no_cfg_shape,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|STRING_REFS,0.1985391085929337,0.17579908675799086,0.2146118721461187,0.17579908675799086,0.2146118721461187,0.23059360730593606
no_string_refs,FeatureFlag.CONSTANTS|CONCRETE_VALUES|OPCODE_HISTOGRAM|MEMORY_PATTERN|DATAFLOW_EDGES|CFG_WEIGHTS|CALLEE_NAMES|CFG_SHAPE,0.19245076089350835,0.17123287671232876,0.2146118721461187,0.17123287671232876,0.2146118721461187,0.2328767123287671
only_constants,FeatureFlag.CONSTANTS,0.1541235079577964,0.13013698630136986,0.16666666666666666,0.13013698630136986,0.16666666666666666,0.18949771689497716
only_concrete_values,FeatureFlag.CONCRETE_VALUES,0.007913814837974976,0.00228310502283105,0.01141552511415525,0.00228310502283105,0.01141552511415525,0.01141552511415525
only_opcode_histogram,FeatureFlag.OPCODE_HISTOGRAM,0.17551842189927566,0.15296803652968036,0.2054794520547945,0.15296803652968036,0.2054794520547945,0.2146118721461187
only_memory_pattern,FeatureFlag.MEMORY_PATTERN,0.007913814837974976,0.00228310502283105,0.01141552511415525,0.00228310502283105,0.01141552511415525,0.01141552511415525
only_dataflow_edges,FeatureFlag.DATAFLOW_EDGES,0.007913814837974976,0.00228310502283105,0.01141552511415525,0.00228310502283105,0.01141552511415525,0.01141552511415525
only_cfg_weights,FeatureFlag.CFG_WEIGHTS,0.1028969642655423,0.08447488584474885,0.12100456621004566,0.08447488584474885,0.12100456621004566,0.1324200913242009
only_callee_names,FeatureFlag.CALLEE_NAMES,0.007913814837974976,0.00228310502283105,0.01141552511415525,0.00228310502283105,0.01141552511415525,0.01141552511415525
only_cfg_shape,FeatureFlag.CFG_SHAPE,0.12186323519639376,0.1050228310502283,0.13470319634703196,0.1050228310502283,0.13470319634703196,0.14840182648401826
only_string_refs,FeatureFlag.STRING_REFS,0.007913814837974976,0.00228310502283105,0.01141552511415525,0.00228310502283105,0.01141552511415525,0.01141552511415525
